"樓層數(ex 1, 1-1)",重新編碼,Text,價格,尺寸,品質,服務態度,舒適度,公關,代言,外觀,品牌,Sentiment,Sentiment_label,Sentiment_score
B1,B1,我也有發現！雖說是陸製但我更看重材質，好穿的話哪一個國家製我根本不在乎！重點是它們家的鞋子真的！真的！不好穿！😭 至少也挑一下材質吧！不要一味一直狂打廣告，品質卻是堪憂啊！,0,0,1,0,1,0,0,0,D+AF,"{'label': 'negative (stars 1, 2 and 3)', 'score': 0.9670905470848083}","negative (stars 1, 2 and 3)",-0.9670905470848083
B1-1,B2,  我覺得在淘寶單價超過500以上的東西通常比台灣差不多價錢的好,1,0,1,0,0,0,0,0,D+AF,"{'label': 'positive (stars 4 and 5)', 'score': 0.9525378942489624}",positive (stars 4 and 5),0.9525378942489624
B1-2,B3,  真的很難穿 穿一次之後就封印了🥲🥲🥲,0,0,0,0,1,0,0,0,D+AF,"{'label': 'negative (stars 1, 2 and 3)', 'score': 0.9338895678520203}","negative (stars 1, 2 and 3)",-0.9338895678520203
B1-6,B7,  淘寶認真挑很多都材質很好 我是覺得沒必要反陸製畢竟生活中一堆東西都是陸製,0,0,1,0,0,0,0,0,D+AF,"{'label': 'positive (stars 4 and 5)', 'score': 0.6890660524368286}",positive (stars 4 and 5),0.6890660524368286
B2,B14,大腳女生經過  之前曾經買過D+AF幾雙鞋 嘗試幾次都是穿到起水泡跟鞋子縫線繃開... 還有過馬路鞋底直接開口笑的....(超丟臉) (附圖證明去年九月的慘痛教訓),0,1,1,0,1,0,0,0,D+AF,"{'label': 'negative (stars 1, 2 and 3)', 'score': 0.9909307360649109}","negative (stars 1, 2 and 3)",-0.9909307360649109
B2,B14,現在除了日常買淘寶外 台灣大尺碼只會推amai跟grace 走起來舒服也耐穿,0,1,1,0,1,0,0,0,amai,"{'label': 'positive (stars 4 and 5)', 'score': 0.9889253973960876}",positive (stars 4 and 5),0.9889253973960876
B2,B14,現在除了日常買淘寶外 台灣大尺碼只會推amai跟grace 走起來舒服也耐穿,0,1,1,0,1,0,0,0,grace,"{'label': 'positive (stars 4 and 5)', 'score': 0.9889253973960876}",positive (stars 4 and 5),0.9889253973960876
B2-2,B16,不過第一名還是amai 上次去ATT門市試穿，門市人員服務超貼心 當週宅配收到後發現尺寸太小 致電給門市人員直接阿莎力幫忙調貨到門市請我去試穿～,0,0,0,1,0,0,0,0,amai,"{'label': 'positive (stars 4 and 5)', 'score': 0.8105286359786987}",positive (stars 4 and 5),0.8105286359786987
B2-5,B19, -3 可以直接下載官方APP，送貨用黑貓超快，尺寸不合也直接請黑貓來收👍🏻實體台北在中山、信義、蘆洲等都有據點，可以直接網路上查～,0,0,0,1,0,0,0,0,amai,"{'label': 'positive (stars 4 and 5)', 'score': 0.8477160334587097}",positive (stars 4 and 5),0.8477160334587097
B2-11,B25, -4 樓主應該是說amai喔！他是真皮鞋墊，真的好穿～,0,0,1,0,1,0,0,0,amai,"{'label': 'positive (stars 4 and 5)', 'score': 0.9709769487380981}",positive (stars 4 and 5),0.9709769487380981
B2-13,B27,真的大推amai，鞋櫃除了運動鞋幾乎都是他們家的了，我也是大腳（41,0,1,0,0,0,0,0,0,amai,"{'label': 'positive (stars 4 and 5)', 'score': 0.5717451572418213}",positive (stars 4 and 5),0.5717451572418213
B2-15,B29,爆掉的鞋子款訂單找不到了 D+AF後台只保留188天的紀錄 但很像是這款(不確定)，我故意把腳跟的設計往前靠變成拖鞋方式穿,0,0,1,0,0,0,0,0,D+AF,"{'label': 'negative (stars 1, 2 and 3)', 'score': 0.8294063806533813}","negative (stars 1, 2 and 3)",-0.8294063806533813
B2-16,B30," -14  amai鞋碼有到43的 只是要看款式～  我腳通常都要穿42or43",0,1,0,0,0,0,0,0,amai,"{'label': 'negative (stars 1, 2 and 3)', 'score': 0.5021562576293945}","negative (stars 1, 2 and 3)",-0.5021562576293945
B2-17,B31,  amai舒適度真的好過D+AF,0,0,0,0,1,0,0,0,amai,"{'label': 'positive (stars 4 and 5)', 'score': 0.9868389964103699}",positive (stars 4 and 5),0.9868389964103699
B2-18,B32,grace不推 我穿一季就壞掉（穿不到10次）,0,0,1,0,0,0,0,0,grace,"{'label': 'negative (stars 1, 2 and 3)', 'score': 0.9399568438529968}","negative (stars 1, 2 and 3)",-0.9399568438529968
B2-19,B33,  anns也超讚！大腳婆救星！ chuan 也推推（有些有到43）,0,1,0,0,0,0,0,0,ann,"{'label': 'positive (stars 4 and 5)', 'score': 0.988634467124939}",positive (stars 4 and 5),0.988634467124939
B2-19,B33,  anns也超讚！大腳婆救星！ chuan 也推推（有些有到43）,0,1,0,0,0,0,0,0,others,"{'label': 'positive (stars 4 and 5)', 'score': 0.988634467124939}",positive (stars 4 and 5),0.988634467124939
B2-20,B34, -18 grace要看耶，我買過他家一雙涼鞋走路很美麗刑具但真的耐穿（穿了幾十次還經常穿著跑🤣,0,0,1,0,1,0,0,1,grace,"{'label': 'positive (stars 4 and 5)', 'score': 0.84180748462677}",positive (stars 4 and 5),0.84180748462677
B2-23,B37,  grace不一定舒服看個人但 品質比較好又漂亮,0,0,1,0,0,0,0,1,grace,"{'label': 'positive (stars 4 and 5)', 'score': 0.958613395690918}",positive (stars 4 and 5),0.958613395690918
B2-23,B37,A是我有需要基本款鞋子會優先考慮的！,0,0,0,0,0,0,0,0,amai,"{'label': 'positive (stars 4 and 5)', 'score': 0.9543429017066956}",positive (stars 4 and 5),0.9543429017066956
B2-24,B38, -15 這雙我買了兩次！ 但我每次都是後腳跟鞋底掉下來 一開始我以為是我的問題！ 結果發現是品管的問題,0,0,1,0,0,0,0,0,D+AF,"{'label': 'negative (stars 1, 2 and 3)', 'score': 0.7198172807693481}","negative (stars 1, 2 and 3)",-0.7198172807693481
B2-25,B39,但是搭樓推amai 買過品質好,0,0,1,0,0,0,0,0,amai,"{'label': 'positive (stars 4 and 5)', 'score': 0.9191425442695618}",positive (stars 4 and 5),0.9191425442695618
